Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2017-12-13,40.34423828125,40.64165941151892,40.281005469762455,40.39810141589548,95273600
2017-12-14,40.33251190185547,40.54562729654022,40.19902086117933,40.37466471039535,81906000
2017-12-15,40.742366790771484,40.78920445798504,40.3887382938014,40.66274239915993,160677200
2017-12-18,41.31611633300781,41.49878564850216,40.95077770201914,40.95546253852708,117684400
2017-12-19,40.8758430480957,41.074907545710694,40.77045743255763,40.990598338583446,109745600
2017-12-20,40.83135223388672,41.081935665957744,40.57373975840791,40.95312942821834,93902400
2017-12-21,40.98592758178711,41.22246371349465,40.77281564550112,40.78920722206841,83799600
2017-12-22,40.98592758178711,41.0819471288469,40.866490986276155,40.90864381757937,65397600
2017-12-26,39.94610595703125,40.156877194680966,39.7376717779659,39.9999690824779,132742000
2017-12-27,39.953125,39.995277811355756,39.74469442794614,39.83602909270045,85992800
2017-12-28,40.06553649902344,40.245865198769145,39.925019979367434,40.04680072483707,65920800
2017-12-29,39.63228988647461,39.95079097845605,39.62994925418604,39.934399405467246,103999600
2018-01-02,40.341888427734375,40.351258103264755,39.63931284929152,39.85008766691489,102223600
2018-01-03,40.334861755371094,40.87818856844172,40.27163252810483,40.40512002581769,118071600
2018-01-04,40.522212982177734,40.62525796148265,40.29973145330602,40.407457696409296,89738400
2018-01-05,40.98357391357422,41.070223754905165,40.526900518948345,40.61823519787352,94640000
2018-01-08,40.83135223388672,41.12643269112992,40.732988507988125,40.83135223388672,82271200
2018-01-09,40.82665252685547,40.99761152187234,40.61119652287244,40.878175003186506,86336000
2018-01-10,40.817298889160156,40.81964309485793,40.515192953344034,40.55266450966543,95839600
2018-01-11,41.04914093017578,41.09832278351817,40.864130969186505,40.88754800652957,74670800
2018-01-12,41.473026275634766,41.536259064148354,41.13578950154014,41.25991087346616,101672400
2018-01-16,41.26226043701172,42.01167360260789,41.25055013043537,41.662726478142304,118263600
2018-01-17,41.943763732910156,41.97889108266515,40.99997081899453,41.252894884198874,137547200
2018-01-18,41.981224060058594,42.17794790326898,41.74469161004063,42.00698530300974,124773600
2018-01-19,41.79387283325195,42.056166522261215,41.54797071306402,41.82900017607158,129700400
2018-01-22,41.45196533203125,41.63463472388685,41.35829000361264,41.52222361508757,108434400
2018-01-23,41.46132278442383,42.023385358113266,41.409803865982504,41.5222149513268,130756400
2018-01-24,40.80091094970703,41.52222239244202,40.5620342237433,41.51051208336333,204420400
2018-01-25,40.07256317138672,40.97185891844492,39.93673148456798,40.86881394406632,166116000
2018-01-26,40.16624069213867,40.28099597876492,39.82666324306097,40.28099597876492,156572000
2018-01-29,39.334861755371094,39.850083072126374,39.126431167404846,39.850083072126374,202561600
2018-01-30,39.10301971435547,39.196695039895985,38.57140312952726,38.765782824834226,184192800
2018-01-31,39.21073532104492,39.44727134997662,38.99293864030814,39.07958847154962,129915600
